ID,著作权人,软著名称,登记号,登记日
44,丰疆智能科技（福建）有限公司,软著44,2023SR0210027,2023/2/8
45,丰疆智能（深圳）有限公司,软著45,2023SR0305605,2023/3/8
46,丰疆智能（深圳）有限公司,软著46,2023SR0691242,2023/6/19
47,斯维垦智能科技（深圳）有限公司,软著47,2023SR0434071,2023/4/4
48,丰疆智能（深圳）有限公司,软著48,2023SR0313971,2023/3/10
49,丰疆智能（深圳）有限公司,软著49,2023SR0615854,2023/6/9
50,丰疆自动化科技(西安)有限公司,软著50,2023SR0583459,2023/6/6
51,丰疆自动化科技(西安)有限公司,软著51,2023SR0882718,2023/8/2
52,丰疆智能软件科技（南京）有限公司,软著52,2023SR0930356,2023/8/14
53,丰疆智能（深圳）有限公司,软著53,2023SR0981930,2023/8/29
54,丰疆自动化科技(西安)有限公司,软著54,2023SR1011967,2023/9/5
55,丰疆智能科技研究院（常州）有限公司,软著55,2023SR1177509,2023/9/28
56,丰疆智能（深圳）有限公司,软著56,2023SR1122185,2023/9/20
57,丰疆智能（深圳）有限公司,软著57,2023SR1184810,2023/10/7
58,丰疆自动化科技(西安)有限公司,软著58,2023SR1395946,2023/11/7
59,丰疆自动化科技(西安)有限公司,软著59,2023SR1525046,2023/11/28
60,丰疆自动化科技(西安)有限公司,软著60,2024SR0005827,2024/1/2
61,丰疆智能软件科技（南京）有限公司,软著61,2024SR1380895,2024/9/14
62,丰疆智能软件科技（南京）有限公司,软著62,2024SR1229424,2024/8/22
63,丰疆智能软件科技（南京）有限公司,软著63,2024SR1229278,2024/8/22
64,丰疆智能软件科技（南京）有限公司,软著64,2024SR1229394,2024/8/22
65,丰疆智能软件科技（南京）有限公司,软著65,2024SR1225561,2024/8/22
66,丰疆智能软件科技（南京）有限公司,软著66,2024SR1226858,2024/8/22
67,丰疆智能软件科技（南京）有限公司,软著67,2024SR1229477,2024/8/22
68,丰疆智能软件科技（南京）有限公司,软著68,2024SR1233474,2024/8/23
69,丰疆智能软件科技（南京）有限公司,软著69,2024SR1232951,2024/8/23
70,丰疆智能软件科技（南京）有限公司,软著70,2024SR1233217,2024/8/23
71,丰疆智能软件科技（南京）有限公司,软著71,2024SR1233634,2024/8/23
72,丰疆智能软件科技（南京）有限公司,软著72,2024SR1229714,2024/8/23
73,丰疆智能软件科技（南京）有限公司,软著73,2024SR1229707,2024/8/22
74,丰疆智能（深圳）有限公司,软著74,2024SR1483358,2024/10/9
75,丰疆智能科技研究院(常州)有限公司深圳分公司,软著75,2024SR1774578,2024/11/13
76,丰疆智能（深圳）有限公司,软著76,2024SR2200572,2024/12/26
77,丰疆智能（深圳）有限公司,软著77,2025SR0309825,2025/2/21
78,丰疆智能科技研究院(常州)有限公司深圳分公司,软著78,2025SR0506451,2025/3/24
79,丰疆智能科技研究院(常州)有限公司深圳分公司,软著79,2025SR0497288,2025/3/21
80,丰疆智能科技研究院(常州)有限公司深圳分公司,软著80,2025SR0604307,2025/4/11
81,丰疆智能（深圳）有限公司,软著81,2025SR0423830,2025/3/11
82,丰疆智能（深圳）有限公司,软著82,2025SR0609444,2025/4/11
83,丰疆智能科技研究院（常州）有限公司,软著83,2025SR0808858,2025/5/19
84,丰疆智能科技研究院（常州）有限公司,软著84,2025SR0879233,2025/5/27
85,丰疆智能科技研究院（常州）有限公司,软著85,2025SR0808847,2025/5/19
86,丰疆智能科技研究院（常州）有限公司,软著86,2025SR0808820,2025/5/19
87,丰疆自动化科技(西安)有限公司,软著87,2025SR0854710,2025/5/23
88,丰疆智能软件科技（南京）有限公司,软著88,2025SR0870638,2025/5/26
89,丰疆智能（深圳）有限公司,软著89,2025SR0993640,2025/6/12
90,丰疆智能（深圳）有限公司,软著90,2025SR1037245,2025/6/18
91,丰疆智能（深圳）有限公司,软著91,2025SR1037477,2025/6/18
92,丰疆智能（深圳）有限公司,软著92,2025SR1037430,2025/6/18
93,丰疆智能（深圳）有限公司,软著93,2025SR1043308,2025/6/19
94,丰疆智能（深圳）有限公司,软著94,2025SR1036739,2025/6/18
95,丰疆智能（深圳）有限公司,软著95,2025SR1033189,2025/6/18
96,丰疆智能（深圳）有限公司,软著96,2025SR1038378,2025/6/18
97,丰疆智能（深圳）有限公司,软著97,2025SR1040874,2025/6/19
98,丰疆智能科技研究院（常州）有限公司,软著98,2025SR1113550,2025/6/27
